15,Radix Sort base 2^16,Few Unique,0.0342042
15,Shell Sort,Few Unique,0.254527
15,Tim Sort,Few Unique,0.187173
16,STL Sort,Few Unique,0.188598
16,Heap Sort,Few Unique,0.304518
16,Merge Sort,Few Unique,0.324073
16,Radix Sort base 10,Few Unique,0.157203
16,Radix Sort base 2^16,Few Unique,0.0320702
16,Shell Sort,Few Unique,0.255109
16,Tim Sort,Few Unique,0.187387
17,STL Sort,Few Unique,2.21061
17,Heap Sort,Few Unique,4.22439
17,Merge Sort,Few Unique,3.62791
17,Radix Sort base 10,Few Unique,1.23218
17,Radix Sort base 2^16,Few Unique,0.33372
17,Shell Sort,Few Unique,3.23378
17,Tim Sort,Few Unique,2.37658
18,STL Sort,Few Unique,2.2194
18,Heap Sort,Few Unique,4.20726
18,Merge Sort,Few Unique,3.65937
18,Radix Sort base 10,Few Unique,1.57205
18,Radix Sort base 2^16,Few Unique,0.338232
18,Shell Sort,Few Unique,3.22745
18,Tim Sort,Few Unique,2.38816
19,STL Sort,Few Unique,25.3278
19,Heap Sort,Few Unique,61.3778
19,Merge Sort,Few Unique,40.7501
19,Radix Sort base 10,Few Unique,12.3775
19,Radix Sort base 2^16,Few Unique,3.78071
19,Shell Sort,Few Unique,37.726
19,Tim Sort,Few Unique,27.6459
20,STL Sort,Few Unique,25.2887
20,Heap Sort,Few Unique,58.8149
20,Merge Sort,Few Unique,38.3349
20,Radix Sort base 10,Few Unique,14.4759
20,Radix Sort base 2^16,Few Unique,3.41907
20,Shell Sort,Few Unique,35.5641
20,Tim Sort,Few Unique,26.1992
21,STL Sort,Reversed,5.68e-05
21,Bubble Sort,Reversed,0.0055502
21,Quick Sort pivot 3,Reversed,0.0001124
21,Quick Sort pivot random,Reversed,0.0001287
21,Heap Sort,Reversed,0.0001822
21,Merge Sort,Reversed,0.0004149
21,Radix Sort base 10,Reversed,0.0001165
21,Radix Sort base 2^16,Reversed,0.0003863
21,Shell Sort,Reversed,5.34e-05
21,Tim Sort,Reversed,9.39e-05
22,STL Sort,Reversed,4.77e-05
22,Bubble Sort,Reversed,0.0042961
22,Quick Sort pivot 3,Reversed,7.09e-05
22,Quick Sort pivot random,Reversed,7.68e-05
22,Heap Sort,Reversed,0.0001241
22,Merge Sort,Reversed,0.0001944
22,Radix Sort base 10,Reversed,0.000143
22,Radix Sort base 2^16,Reversed,0.0006228
22,Shell Sort,Reversed,4.86e-05
22,Tim Sort,Reversed,0.0001095
23,STL Sort,Reversed,0.0068391
